Team,Games,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,CP,AP,P%,PassTotDist,PassPrgDist,SPC,SPA,S%,MPC,MPA,M%,LPC,LPA,L%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,Recov,Aerial Won,Aerial Lost,AerialWon%
Real,51,109,818,298,36.4,0.12,0.33,18,27,12,16,86.3,74.9,0.1,+22.7,+22.1,25758,29475,87.4,476610,135286,11548,12431,92.9,10155,11100,91.5,3456,4804,71.9,102,2,0,598,733,125,655,678,540,3290,510,458,52.7
vs Real,51,48,617,194,31.4,0.07,0.24,17.5,18,2,5,55.8,52.7,0.1,-7.8,-6.7,17870,21560,82.9,341422,114535,7825,8621,90.8,7260,8188,88.7,2465,3955,62.3,112,5,2,767,572,51,623,724,550,3003,458,510,47.3
Liverpool,55,137,1007,339,33.7,0.13,0.38,16.2,12,9,11,104.9,97.5,0.12,+32.1,+30.5,25286,30181,83.8,499037,157366,9853,10972,89.8,11358,12760,89,3747,5482,68.4,73,1,0,626,621,102,908,771,557,4559,761,671,53.1
vs Liverpool,55,42,432,154,35.6,0.1,0.27,16.6,15,0,1,41,41,0.12,+1.0,+1.0,13243,18008,73.5,260590,95328,5658,6648,85.1,5260,6488,81.1,2028,4091,49.6,101,9,3,648,610,216,454,1058,641,3726,671,761,46.9
